query-id	corpus-id	score
2000001	92703	1
2000002	419996	1
2000003	322719	1
2000005	352395	1
2000009	294567	1
2000014	69739	1
2000015	54828	1
2000017	450436	1
2000019	393691	1
2000020	238479	1
2000021	5252	1
2000024	420476	1
2000032	468297	1
2000033	244555	1
2000037	356453	1
2000038	244825	1
2000040	190864	1
2000043	274970	1
2000044	163257	1
2000047	506443	1
2000048	371076	1
2000049	204020	1
2000050	103753	1
2000053	39770	1
2000054	315847	1
2000055	475588	1
2000057	447116	1
2000059	592746	1
2000060	547853	1
2000063	317781	1
2000064	231648	1
2000066	553269	1
2000069	481519	1
2000070	501077	1
2000071	286903	1
2000074	285481	1
2000075	443189	1
2000077	293083	1
2000078	404988	1
2000079	472837	1
2000082	383753	1
2000083	231203	1
2000084	494054	1
2000088	92856	1
2000089	549556	1
2000091	265987	1
2000095	538285	1
2000097	192776	1
2000099	272076	1
2000102	69684	1
2000103	144526	1
2000104	163843	1
2000105	7575	1
2000111	388021	1
2000113	20341	1
2000114	532724	1
2000115	253309	1
2000116	397913	1
2000118	552810	1
2000122	249273	1
2000123	409761	1
2000124	203636	1
2000125	76924	1
2000127	200946	1
2000128	427631	1
2000129	230411	1
2000130	491688	1
2000131	53115	1
2000133	172188	1
2000134	461082	1
2000137	395786	1
2000141	45726	1
2000148	428082	1
2000151	221378	1
2000155	107924	1
2000157	338666	1
2000158	234077	1
2000159	1789	1
2000161	60557	1
2000162	478026	1
2000165	472415	1
2000166	377957	1
2000167	588774	1
2000169	158399	1
2000170	49117	1
2000171	175419	1
2000172	313088	1
2000176	228095	1
2000177	276758	1
2000178	364701	1
2000179	108575	1
2000180	233001	1
2000181	239827	1
2000185	488096	1
2000186	13802	1
2000188	248398	1
2000190	593463	1
2000193	565770	1
2000194	357660	1
2000195	492386	1
2000197	366320	1
2000198	141300	1
2000199	185406	1
2000203	170708	1
2000205	376351	1
2000206	131034	1
2000207	540232	1
2000209	259223	1
2000211	436765	1
2000212	581089	1
2000213	582270	1
2000217	403568	1
2000220	486818	1
2000221	158165	1
2000222	499102	1
2000223	483332	1
2000224	432134	1
2000229	507596	1
2000232	206906	1
2000234	1392	1
2000236	350791	1
2000237	298833	1
2000238	580895	1
2000239	11414	1
2000241	371341	1
2000242	362790	1
2000245	145830	1
2000251	231968	1
2000252	136654	1
2000257	398694	1
2000258	470087	1
2000259	253613	1
2000261	173542	1
2000263	80607	1
2000264	281023	1
2000266	488360	1
2000268	214093	1
2000270	219321	1
2000272	595772	1
2000273	27995	1
2000275	336451	1
2000279	163765	1
2000281	448839	1
2000283	429375	1
2000286	252677	1
2000287	307578	1
2000289	320652	1
2000290	531689	1
2000292	543165	1
2000293	584732	1
2000295	162892	1
2000300	480773	1
2000301	518861	1
2000304	289083	1
2000306	83080	1
2000308	533607	1
2000309	399473	1
2000311	139583	1
2000313	232011	1
2000314	252653	1
2000317	397269	1
2000323	436040	1
2000324	357682	1
2000325	236328	1
2000327	375705	1
2000328	474187	1
2000329	536853	1
2000332	364048	1
2000333	381112	1
2000334	137079	1
2000337	13698	1
2000339	486283	1
2000340	472311	1
2000341	176694	1
2000350	167060	1
2000351	380486	1
2000353	123990	1
2000354	176496	1
2000355	427110	1
2000357	377562	1
2000358	158805	1
2000360	37928	1
2000362	131676	1
2000366	87820	1
2000370	29400	1
2000371	235668	1
2000372	207895	1
2000373	532034	1
2000375	354421	1
2000376	306742	1
2000377	545287	1
2000378	63866	1
2000380	451492	1
2000382	272636	1
2000384	89099	1
2000387	28749	1
2000388	62233	1
2000389	88225	1
2000390	97964	1
2000396	219990	1
2000397	42831	1
2000399	129692	1
2000400	180249	1
2000401	332153	1
2000404	289262	1
2000405	65621	1
2000406	459051	1
2000407	290807	1
2000409	505592	1
2000412	410990	1
2000415	53637	1
2000416	294780	1
2000421	78297	1
