query-id	corpus-id	score
2000001	92703	1
2000002	419996	1
2000003	322719	1
2000004	39223	1
2000005	352395	1
2000006	513129	1
2000007	591967	1
2000008	64277	1
2000009	294567	1
2000010	214264	1
2000011	172334	1
2000012	125188	1
2000013	107545	1
2000014	69739	1
2000015	54828	1
2000016	179465	1
2000017	450436	1
2000018	334921	1
2000019	393691	1
2000020	238479	1
2000021	5252	1
2000022	428197	1
2000023	142653	1
2000024	420476	1
2000025	223377	1
2000026	118532	1
2000027	53028	1
2000028	186621	1
2000029	269440	1
2000030	260822	1
2000031	331545	1
2000032	468297	1
2000033	244555	1
2000034	328001	1
2000035	325904	1
2000036	108656	1
2000037	356453	1
2000038	244825	1
2000039	370508	1
2000040	190864	1
2000041	246141	1
2000042	33376	1
2000043	274970	1
2000044	163257	1
2000045	406945	1
2000046	124350	1
2000047	506443	1
2000048	371076	1
2000049	204020	1
2000050	103753	1
2000051	388564	1
2000052	104447	1
2000053	39770	1
2000054	315847	1
2000055	475588	1
2000056	77052	1
2000057	447116	1
2000058	246733	1
2000059	592746	1
2000060	547853	1
2000061	577443	1
2000062	134469	1
2000063	317781	1
2000064	231648	1
2000065	195532	1
2000066	553269	1
2000067	510736	1
2000068	397027	1
2000069	481519	1
2000070	501077	1
2000071	286903	1
2000072	220861	1
2000073	215837	1
2000074	285481	1
2000075	443189	1
2000076	458455	1
2000077	293083	1
2000078	404988	1
2000079	472837	1
2000080	538673	1
2000081	202767	1
2000082	383753	1
2000083	231203	1
2000084	494054	1
2000085	70971	1
2000086	332979	1
2000087	554244	1
2000088	92856	1
2000089	549556	1
2000090	123753	1
2000091	265987	1
2000092	452658	1
2000093	464222	1
2000094	350023	1
2000095	538285	1
2000096	391344	1
2000097	192776	1
2000098	477621	1
2000099	272076	1
2000100	540737	1
2000101	122385	1
2000102	69684	1
2000103	144526	1
2000104	163843	1
2000105	7575	1
2000106	15927	1
2000107	278100	1
2000108	569357	1
2000109	524087	1
2000110	547196	1
2000111	388021	1
2000112	396622	1
2000113	20341	1
2000114	532724	1
2000115	253309	1
2000116	397913	1
2000117	17888	1
2000118	552810	1
2000119	159664	1
2000120	117379	1
2000121	383257	1
2000122	249273	1
2000123	409761	1
2000124	203636	1
2000125	76924	1
2000126	227072	1
2000127	200946	1
2000128	427631	1
2000129	230411	1
2000130	491688	1
2000131	53115	1
2000132	431760	1
2000133	172188	1
2000134	461082	1
2000135	316932	1
2000136	414381	1
2000137	395786	1
2000138	414246	1
2000139	401185	1
2000140	430769	1
2000141	45726	1
2000142	450081	1
2000143	401454	1
2000144	197368	1
2000145	472401	1
2000146	381000	1
2000147	402902	1
2000148	428082	1
2000149	140144	1
2000150	238568	1
2000151	221378	1
2000152	473256	1
2000153	457276	1
2000154	35188	1
2000155	107924	1
2000156	591992	1
2000157	338666	1
2000158	234077	1
2000159	1789	1
2000160	530767	1
2000161	60557	1
2000162	478026	1
2000163	18703	1
2000164	398472	1
2000165	472415	1
2000166	377957	1
2000167	588774	1
2000168	211028	1
2000169	158399	1
2000170	49117	1
2000171	175419	1
2000172	313088	1
2000173	59899	1
2000174	520957	1
2000175	599403	1
2000176	228095	1
2000177	276758	1
2000178	364701	1
2000179	108575	1
2000180	233001	1
2000181	239827	1
2000182	196090	1
2000183	421505	1
2000184	112801	1
2000185	488096	1
2000186	13802	1
2000187	492044	1
2000188	248398	1
2000189	381946	1
2000190	593463	1
2000191	311971	1
2000192	419393	1
2000193	565770	1
2000194	357660	1
2000195	492386	1
2000196	120455	1
2000197	366320	1
2000198	141300	1
2000199	185406	1
2000200	253565	1
2000201	415538	1
2000202	136988	1
2000203	170708	1
2000204	456265	1
2000205	376351	1
2000206	131034	1
2000207	540232	1
2000208	542918	1
2000209	259223	1
2000210	341960	1
2000211	436765	1
2000212	581089	1
2000213	582270	1
