query-id	corpus-id	score
2000002	419996	1
2000009	294567	1
2000013	107545	1
2000014	69739	1
2000015	54828	1
2000020	238479	1
2000021	5252	1
2000027	53028	1
2000031	331545	1
2000033	244555	1
2000034	328001	1
2000037	356453	1
2000039	370508	1
2000041	246141	1
2000043	274970	1
2000044	163257	1
2000047	506443	1
2000049	204020	1
2000055	475588	1
2000057	447116	1
2000058	246733	1
2000059	592746	1
2000066	553269	1
2000067	510736	1
2000069	481519	1
2000070	501077	1
2000072	220861	1
2000073	215837	1
2000078	404988	1
2000079	472837	1
2000080	538673	1
2000084	494054	1
2000091	265987	1
2000094	350023	1
2000095	538285	1
2000096	391344	1
2000099	272076	1
2000104	163843	1
2000108	569357	1
2000111	388021	1
2000116	397913	1
2000119	159664	1
2000122	249273	1
2000124	203636	1
2000128	427631	1
2000130	491688	1
2000132	431760	1
2000134	461082	1
2000135	316932	1
2000143	401454	1
2000148	428082	1
2000150	238568	1
2000152	473256	1
2000156	591992	1
2000162	478026	1
2000164	398472	1
2000165	472415	1
2000166	377957	1
2000168	211028	1
2000169	158399	1
2000170	49117	1
2000171	175419	1
2000172	313088	1
2000173	59899	1
2000176	228095	1
2000177	276758	1
2000181	239827	1
2000183	421505	1
2000189	381946	1
2000190	593463	1
2000193	565770	1
2000194	357660	1
2000198	141300	1
2000203	170708	1
2000204	456265	1
2000206	131034	1
2000209	259223	1
2000210	341960	1
2000213	582270	1
2000222	499102	1
2000224	432134	1
2000229	507596	1
2000230	284827	1
2000233	179201	1
2000236	350791	1
2000237	298833	1
2000241	371341	1
2000244	285472	1
2000257	398694	1
2000263	80607	1
2000264	281023	1
2000267	432448	1
2000268	214093	1
2000270	219321	1
2000274	105657	1
2000276	175470	1
2000279	163765	1
2000284	505190	1
2000287	307578	1
2000290	531689	1
2000292	543165	1
2000297	574664	1
2000299	340513	1
2000300	480773	1
2000306	83080	1
2000308	533607	1
2000311	139583	1
2000312	420876	1
2000313	232011	1
2000318	117007	1
2000321	71144	1
2000323	436040	1
2000327	375705	1
2000328	474187	1
2000329	536853	1
2000330	207380	1
2000332	364048	1
2000334	137079	1
2000342	483285	1
2000343	36926	1
2000344	444679	1
2000345	561481	1
2000350	167060	1
2000354	176496	1
2000355	427110	1
2000357	377562	1
2000360	37928	1
2000370	29400	1
2000372	207895	1
2000373	532034	1
2000374	506664	1
2000376	306742	1
2000377	545287	1
2000378	63866	1
2000380	451492	1
2000381	358962	1
2000382	272636	1
2000384	89099	1
2000390	97964	1
2000393	195975	1
2000395	317412	1
2000398	118149	1
2000410	363430	1
2000413	215362	1
2000420	106875	1
2000429	116700	1
2000430	54574	1
2000431	316379	1
2000434	358769	1
2000436	428694	1
2000445	308132	1
2000456	286320	1
2000461	75686	1
2000462	369584	1
2000463	202019	1
2000467	451393	1
2000475	187497	1
2000478	273652	1
2000483	226066	1
2000488	304023	1
